name,check,no_dataset_identical,how_many_dataset_identical,date
2022-12-01 19-31-13.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-01
2022-12-02 01-31-14.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-02
2022-12-03 01-31-17.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-03
2022-12-04 00-31-13.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-04
2022-12-05 00-31-16.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-05
2022-12-06 03-31-17.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-06
2022-12-07 04-31-13.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-07
2022-12-08 18-31-15.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-08
2022-12-09 06-31-16.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-09
2022-12-10 03-31-13.RData,FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE_FALSE,TRUE,0,2022-12-10
